frame,track_id,label,x,y,width,height
508,8,pedestrian,109,32,43,75
509,8,pedestrian,111,31,45,75
510,8,pedestrian,120,30,34,75
511,8,pedestrian,125,29,28,74
512,8,pedestrian,131,26,30,78
513,8,pedestrian,136,27,43,77
514,8,pedestrian,141,27,44,78
515,8,pedestrian,145,25,43,80
516,8,pedestrian,149,23,41,78
517,8,pedestrian,158,20,29,76
518,8,pedestrian,163,18,28,79
519,8,pedestrian,168,18,34,77
520,8,pedestrian,168,18,49,78
521,8,pedestrian,169,18,53,76
522,8,pedestrian,181,16,39,78
523,8,pedestrian,190,14,29,73
524,8,pedestrian,194,12,27,75
525,8,pedestrian,198,10,29,77
526,8,pedestrian,201,9,36,79
527,8,pedestrian,204,8,39,79
527,9,pedestrian,82,370,153,59
528,8,pedestrian,200,6,45,79
528,9,pedestrian,64,358,174,71
529,8,pedestrian,212,5,35,72
529,10,car,70,348,170,80
530,8,pedestrian,215,1,31,75
530,11,pedestrian,200,1,46,76
531,8,pedestrian,222,0,28,74
531,10,car,76,325,172,105
532,8,pedestrian,226,0,36,73
532,10,car,78,315,175,114
533,8,pedestrian,229,0,37,73
534,8,pedestrian,233,0,33,71
535,8,pedestrian,235,0,33,70
536,8,pedestrian,241,0,27,62
537,8,pedestrian,244,0,27,62
538,8,pedestrian,248,0,28,61
539,8,pedestrian,251,0,30,61
540,8,pedestrian,254,0,29,60
541,8,pedestrian,258,0,29,57
542,8,pedestrian,262,0,26,47
543,8,pedestrian,266,0,23,45
543,10,car,92,219,190,209
544,8,pedestrian,269,0,25,42
544,10,car,96,211,187,217
545,8,pedestrian,270,0,28,42
545,10,car,101,204,184,225
546,8,pedestrian,272,0,27,41
546,10,car,106,196,179,225
546,12,pedestrian,511,0,34,43
547,8,pedestrian,272,1,28,39
547,12,pedestrian,512,0,34,45
547,13,bus,112,189,174,223
548,8,pedestrian,274,0,26,36
548,10,car,117,180,170,219
549,10,car,123,175,164,211
551,10,car,131,159,155,204
552,10,car,136,151,148,199
552,12,pedestrian,519,0,41,58
553,10,car,141,144,141,194
554,13,bus,143,136,136,190
557,10,car,151,115,121,182
558,10,car,154,110,116,176
558,12,pedestrian,531,0,51,74
560,10,car,145,97,123,169
561,10,car,140,92,126,164
